cmd,msg,type
pls,pls,basic
ping,pong!,basic
donate,If you enjoy the stream; help keep the site going! :) http://aclee.memesyndicate.com/gofundme,basic
de,FENSE!,basic
aclee,based aclee,basic
cheesesteak,https://i.imgur.com/yDot0lg.gif,basic
dumps,http://i.imgur.com/6I9z75O.png,basic
lag,http://i.imgur.com/wHU7f4P.jpg,basic
wawa,http://i.imgur.com/VcC5gLV.png,basic
nice,http://i.imgur.com/QMRxuuP.png,basic
bro,http://i.imgur.com/ocCYhpL.png,basic
pogchamp,http://i.imgur.com/7bGsxZC.png,basic
fap,http://i.imgur.com/UZA7oDD.png,basic
stoned,http://i.imgur.com/BXVlumD.jpg,basic
dab,https://i.imgur.com/DxFhJ5G.png,basic
woo,http://i.imgur.com/PuzhNHg.gif,basic
amac,https://i.imgur.com/3kblRR8.gif,basic
frosty,https://i.imgur.com/8VoCV6P.png,basic
meek,FREE MEEK,basic
suicide,https://i.imgur.com/Lpu455k.png,basic
popcorn,http://i.imgur.com/8T8fm98.gif,basic
rocky,https://i.imgur.com/VlDBmj3.png,basic
clap,Clap your hands everybody for Philadelphia 76ers!,basic
stomp,Stomp your feet everybody for Philadelphia 76ers!,basic
htc,Here they come; Philadelphia; on the run; stand up and cheer!,basic
no1,Number one; Philadelphia; here they come; team of the year!,basic
count,1 2 3 4 5 Sixers!,basic
tnuoc,10 9 8 76ers!,basic
ftc,Fuck the Celtics!,basic
doop,DOOP DOOP DOOP DADADOOP DOOP DOOP,basic
jj,SHOT! High and wide.,basic
lgf,let's go flyera,basic
ttp,Trust the process,basic
belinelli,https://i.imgur.com/PST9VDt.png,basic
marco,POLO!,basic
ftp,https://i.imgur.com/KLy5Ads.png,basic
tj,https://i.imgur.com/r7obJ2O.png,basic
goat,http://i.imgur.com/r7obJ2O.png,basic
king,where the hoes at,basic
panduh,based panduh,basic
woat,ban goat when,basic
nephew,https://i.imgur.com/oJ3qLRG.jpg,basic
dance,/o/,basic
chant,E! A! G! L! E! S! EAGLES!,basic
falg,https://media.discordapp.net/attachments/271047268763697153/399352313803833346/4R2Mcj1.png,basic
gilf,http://i.imgur.com/ltsesOa.jpg,basic
baggage,http://i.imgur.com/M7mvqqR.png,basic
hype,https://i.imgur.com/6QltyQ0.gif,basic
reee,https://i.imgur.com/d3JvMNf.gif,basic
leafs,FUCK THE LEAFS!,basic
metsfan,mets pls,basic
jesus,nephew!,basic
bloodhorse,https://i.imgur.com/PE1ubLy.png,basic
sewerchat,https://i.imgur.com/XdFJ1Xo.jpg,basic
kash,https://i.imgur.com/gwnUl4i.png,basic
trevis,http://i.imgur.com/4Ulws9X.jpg,basic
quiplash,https://i.imgur.com/ZpZH2A7.png,basic
gus,https://i.imgur.com/MD9v228.jpg; https://i.imgur.com/NxIxHks.jpg; https://i.imgur.com/B8AF2kW.jpg; https://i.imgur.com/txywtE0.jpg,basic
legionofgloom,AND THE FLYERS ARE GOING ON THE PECOOOOOOOOOOOO POWERPLAY! https://i.imgur.com/bgy1ag6.gif,basic
smirk,https://i.imgur.com/STIrrXN.png,basic
peco,http://i.imgur.com/qhV8XXH.gif,basic
freddy,https://i.imgur.com/3yti0.jpg,basic
legionofdoom,https://i.imgur.com/qCxFxvg.jpg; https://i.imgur.com/cBOOBbs.jpg; https://i.imgur.com/ArNAXMy.jpg; https://i.imgur.com/ghAT65v.png; https://i.imgur.com/o4bt9XY.jpg; https://i.imgur.com/OW1wczK.jpg; https://i.imgur.com/bPouF9z.jpg; https://i.imgur.com/JUIsmkO.png; https://i.imgur.com/vzfl9oZ.jpg; https://i.imgur.com/ThbFFs2.jpg,random
molly,https://i.imgur.com/l9moZNr.png; https://i.imgur.com/YsTViAC.png; https://i.imgur.com/6kHAxlZ.png; https://i.imgur.com/f3VAfuA.png; https://i.imgur.com/qU2PBQk.png,random
dario,https://i.imgur.com/YETUJmw.jpg; http://i.imgur.com/tmVHbPz.png; https://i.imgur.com/tLKWd9M.jpg; https://i.imgur.com/NI8d7zQ.jpg; https://i.imgur.com/F5J2oiN.jpg; https://i.imgur.com/CohwTgp.jpg; https://i.imgur.com/MlAgWdP.jpg; https://i.imgur.com/JreG2cD.jpg,random
fultz,https://i.imgur.com/eGNnEMB.png; https://i.imgur.com/JK1z3aA.jpg; https://i.imgur.com/7KPclUS.jpg; http://i.imgur.com/7jfDQ3F.jpg,random
bales,https://i.imgur.com/MOdT9gN.png; https://i.imgur.com/frvo5Ke.png; https://i.imgur.com/nioNcAV.png,
harper,https://i.imgur.com/XDhwj0t.jpg,
ynwa,YNWA,
hq,https://i.imgur.com/P7CzhYN.png,
kelce,https://i.imgur.com/9htC3ze.png,
jorge,HIP HIP!,
peach,put on UFC NOW,
commands,Incomplete list: https://github.com/acleee/acleebot,
gone,"SWING AND A LONG DRIVE, DEEP LEFT FIELD. THAT BALL IS OUTTAAAAA HERREEEEE!",
scherzer,https://i.imgur.com/Tg45vDy.jpg,
pool,YNWA,
banned,https://i.imgur.com/xuNUZb4.png,
coinflip,,crypto
btc,https://api.cryptowat.ch/markets/bitfinex/btcusd/summary,crypto
bch,https://api.cryptowat.ch/markets/bitfinex/bchusd/summary,crypto
eth,https://api.cryptowat.ch/markets/bitfinex/ethusd/summary,crypto
ltc,https://api.cryptowat.ch/markets/bitfinex/ltcusd/summary,crypto
ripple,https://api.cryptowat.ch/markets/bitfinex/xrpusd/summary,crypto
etc,https://api.cryptowat.ch/markets/bitfinex/etcusd/summary,crypto
zec,https://api.cryptowat.ch/markets/bitfinex/zecusd/summary,crypto
dash,https://api.cryptowat.ch/markets/bitfinex/dashusd/summary,crypto
xmr,https://api.cryptowat.ch/markets/bitfinex/xmrusd/summary,crypto
monero,https://api.cryptowat.ch/markets/kraken/xmrusd/summary,crypto
sc,https://api.cryptowat.ch/markets/kraken/dogebtc/summary,crypto
doge,https://api.cryptowat.ch/markets/kraken/dogebtc/summary,crypto
getavi,http://fp.chatango.com/profileimg/,avi
score,https://data.nba.com/data/5s/v2015/json/mobile_teams/nba/2017/scores/00_todays_scores.json,nba
goal,Sean Couturier; Valtteri Filppula; Christian Folin; Claude Giroux; Shayne Gostisbehere; Radko Gudas; Robert Hagg; Travis Konecny; Scott Laughton; Jorald 'Jori' Lehtera; Taylor Leier; Oskar Lindblom; Andrew MacDonal; Ivan Provorov; Nolan Patrick; Scott Hartnell; Michael Raffl; Travis Sanheim; Wayne Simmonds; James van Riemsdyk; Jake Voracek; Misha Vorobyev; Jordan Weal; Dale Weise; Bernie Paren; Bobby Clarke; Eric Lindros; John LeClair; Danny Briere; Kimmo Timonen; Mike Richards; Eric Desjardins; Mark Streit; Gritty;,goal